city,state,location_lat,location_lon,state_FIPS,county_FIPS,zip_code,station_name,LAT,LON,BEGIN,END,station_zip_code,station_address,ISD_station,lat_lon_dist
Los Angeles,CA,34.1139,-118.4068,60,037,90291,LOS ANGELES INTERNATIONAL AIR,33.938,-118.389,19440101,20190616,90045,"1 Avion Dr, Los Angeles, CA 90045, USA",722950-23174,0.1767983314400897
Los Angeles,CA,34.1139,-118.4068,60,037,90291,DOWNTOWN L.A./USC CAMPUS,34.024,-118.291,20000101,20190616,90089,"3510 Vermont Ave, Los Angeles, CA 90089, USA",722874-93134,0.14660030695739246
Los Angeles,CA,34.1139,-118.4068,60,037,90291,NRTHORP FLD/HATHRN MUNI AP,33.923,-118.334,20060101,20190616,90250,"Hawthorne Municipal Airport, 12101 Crenshaw Blvd #1, Hawthorne, CA 90250, USA",722956-03167,0.2043101808525454
Los Angeles,CA,34.1139,-118.4068,60,037,90291,JACK NORTHROP FLD H,33.917,-118.333,19730101,20051231,90250,"3355 W El Segundo Blvd, Hawthorne, CA 90250, USA",722956-99999,0.21027612798413564
Los Angeles,CA,34.1139,-118.4068,60,037,90291,SANTA MONICA PIER,34.008,-118.5,20080101,20190615,90401,"401 Santa Monica Pier, Santa Monica, CA 90401, USA",994028-99999,0.1410710813738907
Los Angeles,CA,34.1139,-118.4068,60,037,90291,SANTA MONICA MUNI AIRPORT,34.016,-118.451,20060101,20190616,90405,"2828 Donald Douglas Loop N, Santa Monica, CA 90405, USA",722885-93197,0.10741531548154389
Los Angeles,CA,34.1139,-118.4068,60,037,90291,SANTA MONICA MUNI,34.017,-118.45,19730101,20051231,90405,"Santa Monica Airport, 3223 Donald Douglas Loop S, Santa Monica, CA 90405, USA",722885-99999,0.1060935907583465
Los Angeles,CA,34.1139,-118.4068,60,037,90291,ZAMPERINI FIELD AIRPORT,33.803,-118.34,20060101,20190616,90505,"Zamperini Field Air Traffic Control Tower, 3301 Airport Dr, Torrance, CA 90505, USA",722955-03174,0.3179953616013957
Los Angeles,CA,34.1139,-118.4068,60,037,90291,ZAMPERINI FLD,33.803,-118.34,20000101,20051231,90505,"Zamperini Field Air Traffic Control Tower, 3301 Airport Dr, Torrance, CA 90505, USA",722955-99999,0.3179953616013957
Los Angeles,CA,34.1139,-118.4068,60,037,90291,ZAMPERINE FIELD AIRPORT,33.8,-118.333,20040702,20051231,90505,"Unnamed Road, Torrance, CA 90505, USA",999999-03174,0.3224587570527481
Los Angeles,CA,34.1139,-118.4068,60,037,90291,LONG BEACH / DAUGHERTY FIELD,33.812,-118.146,19430101,20190616,90806,"4023 E Spring St, Long Beach, CA 90806, USA",722970-23129,0.39894893156894623
Los Angeles,CA,34.1139,-118.4068,60,037,90291,WHITMAN AIRPORT,34.259,-118.413,20060101,20190616,91331,"Pacoima NDB PAI 370, Pacoima, CA 91331, USA",745057-53130,0.14523239996639772
Los Angeles,CA,34.1139,-118.4068,60,037,90291,WHITEMAN,34.267,-118.417,19990114,20051231,91331,"13089 1/2 Carl St, Pacoima, CA 91331, USA",745057-99999,0.1534394017193777
Los Angeles,CA,34.1139,-118.4068,60,037,90291,NEWHALL,34.37,-118.57,20040224,20110905,91381,"24907 Chicory Ct, Newhall, CA 91381, USA",720046-99999,0.30367984786612795
Los Angeles,CA,34.1139,-118.4068,60,037,90291,VAN NUYS AIRPORT,34.21,-118.489,19421211,20190616,91406,"Van Nuys Airport (VNY), 16461 Sherman Way, Van Nuys, CA 91406, USA",722886-23130,0.12645967736792632
Los Angeles,CA,34.1139,-118.4068,60,037,90291,VAN NUYS,34.21,-118.49,20000101,20031231,91406,"Van Nuys Airport (VNY), 16461 Sherman Way, Van Nuys, CA 91406, USA",722886-99999,0.12711195852475268
Los Angeles,CA,34.1139,-118.4068,60,037,90291,BURBANK-GLENDALE-PASA ARPT,34.201,-118.358,19430601,20190616,91505,"Unnamed Road, Burbank, CA 91505, USA",722880-23152,0.09983912058907525
Los Angeles,CA,34.1139,-118.4068,60,037,90291,BURBANK/GLENDALE,34.2,-118.35,20000101,20031231,91505,"Unnamed Road, Burbank, CA 91505, USA",722880-99999,0.10314770962072509
Los Angeles,CA,34.1139,-118.4068,60,037,90291,EL MONTE AIRPORT,34.083,-118.033,20060101,20190615,91731,"10930 Basye St, El Monte, CA 91731, USA",747043-03165,0.3750749925015026
Los Angeles,CA,34.1139,-118.4068,60,037,90291,EL MONTE,34.086,-118.035,19900314,20051231,91731,"Río Hondo Bike Path, El Monte, CA 91731, USA",747043-99999,0.3728453432725232
